task_id,title,description,assigned_to,status,priority,project,client,task_type,created_date,due_date,estimated_hours,tags,notes
TASK-1065,Update on Infrastructure Upgrade status,Update on Infrastructure Upgrade status,Priya Patel,Cancelled,URGENT,Infrastructure Upgrade,N/A,Client Request,2024-09-13,2024-10-17,2,bug,See email thread from last week
TASK-1051,Fix bug in Mobile App Launch - Documentation,Fix bug in Mobile App Launch - Documentation,David Kim,In Progress,Low,Mobile App Launch,TechStart Inc,Documentation,2024-09-30,2024-11-23,2,bug,Discussed with Sarah Chen on 04/10
TASK-1104,Update on Security Audit status,Update on Security Audit status,Priya Patel,Cancelled,Normal,Security Audit,Acme Corp,Research,2024-09-11,2024-10-22,1,urgent,Blocked by Data Migration deployment
TASK-1127,Urgent: Manufacturing Ltd escalation - Deployment,Urgent: Manufacturing Ltd escalation - Deployment,Elena Rodriguez,Waiting for Input,Urgent,Mobile App Launch,Manufacturing Ltd,Deployment,2024-09-18,November 03 2024,2,client-facing,Unclear requirements - needs clarification
TASK-1038,Complete Feature Development for Process Automation by EOW,Complete Feature Development for Process Automation by EOW,Lisa Zhang,In Progress,P2,Process Automation,FinanceHub,Feature Development,2024-09-28,2024-11-28,4,urgent,Discussed with Ahmed Hassan on 07/10
TASK-1148,Research options for Q4 Planning,Research options for Q4 Planning,David Kim,Blocked,P3,Q4 Planning,Global Solutions,Support Ticket,2024-09-21,2024-11-07,8,documentation,Low priority - can wait until next sprint
TASK-1100,Update team on progress,Update team on progress,Priya Patel,Done,P3,Customer Success Initiative,Manufacturing Ltd,Documentation,2024-09-17,2024-11-05,5,needs-review,Waiting for response from Premier Healthcare
TASK-1126,Complete Feature Development for Training Program by EOW,Complete Feature Development for Training Program by EOW,David Kim,In Progress,High,Training Program,RetailCo,Feature Development,2024-09-20,07/11/2024,1.5,technical,Quick fix - should take < 1hr
TASK-1061,Urgent: TechStart Inc escalation - Testing,Urgent: TechStart Inc escalation - Testing,Marcus Johnson,To Do,P2,Training Program,TechStart Inc,Testing,2024-09-28,2024-11-17,2,client-facing,Dependencies: check with Lisa Zhang first
TASK-1089,Update team on progress,Update team on progress,Tom Anderson,Done,P3,Infrastructure Upgrade,TechStart Inc,Code Review,2024-09-19,2024-11-13,8,needs-review,Discussed with Sarah Chen on 07/10
TASK-1034,Review and update Mobile App Launch documentation,Review and update Mobile App Launch documentation,Sarah Chen,Blocked,high,Mobile App Launch,FinanceHub,Meeting Follow-up,2024-09-24,2024-11-08,2,blocked,Low priority - can wait until next sprint
TASK-1108,Fix production issue,Fix production issue,Rachel Brown,Waiting for Input,High,API Integration,,Bug Fix,2024-09-15,02/11/2024,3,,URGENT - deadline moved up
TASK-9999,Follow up on that thing,Need to check with Sarah,,,,,,,2024-10-01,asap,,,Not sure what this was about
,Urgent client issue,Needs immediate attention!!!,Sarah Chen,In Progress,CRITICAL,,Acme Corp,Support Ticket,2024-10-08,today,,urgent; client-facing,Customer CEO called directly
